Requirement,Actual,Captured,True Captured,Recall,Precision
1.1.1.4.2,49,3,0,0.0,0.0
1.1.2.14.2,32,47,13,0.40625,0.2765957446808511
1.1.2.2,20,32,7,0.35,0.21875
1.1.1.2.1,27,30,12,0.4444444444444444,0.4
1.1.3.2.5.1,33,3,2,0.06060606060606061,0.6666666666666666
1.1.3.2.6.1,8,18,2,0.25,0.1111111111111111
1.1.2.14.1,54,83,26,0.48148148148148145,0.3132530120481928
1.1.2.15.1,14,15,5,0.35714285714285715,0.3333333333333333
