Requirement,Actual,Captured,True Captured,Recall,Precision
1.1.1.4.2,49,115,31,0.6326530612244898,0.26956521739130435
1.1.2.14.2,32,251,31,0.96875,0.12350597609561753
1.1.2.2,20,260,18,0.9,0.06923076923076923
1.1.1.2.1,27,113,19,0.7037037037037037,0.168141592920354
1.1.3.2.5.1,33,240,30,0.9090909090909091,0.125
1.1.3.2.6.1,8,260,8,1.0,0.03076923076923077
1.1.2.14.1,54,290,40,0.7407407407407407,0.13793103448275862
1.1.2.15.1,14,254,12,0.8571428571428571,0.047244094488188976
